CPU	 1	 0.083325
CPU	 3	 0.066675
CPU	 5	 0.05
CPU	 7	 0.066675
CPU	 9	 0.066675
CPU	 11	 0.08335
CPU	 13	 0.083325
CPU	 15	 0.06665
CPU	 17	 0.083325
CPU	 19	 0.083325
CPU	 21	 0.066675
CPU	 23	 0.08335
CPU	 25	 0.08335
CPU	 27	 0.08335
CPU	 29	 0.083325
CPU	 31	 0.06665
CPU	 33	 0.083325
CPU	 35	 0.08335
CPU	 37	 0.083325
CPU	 39	 0.083325
CPU	 41	 0.08335
CPU	 43	 0.083325
CPU	 45	 0.083325
CPU	 47	 0.066675
CPU	 49	 0.083325
IO	 0	 9856.8
IO	 2	 9856.75
IO	 4	 9856.7
IO	 6	 9856.67
IO	 8	 9856.63
IO	 10	 9856.57
IO	 12	 9856.52
IO	 14	 9856.47
IO	 16	 9856.42
IO	 18	 9856.32
IO	 20	 9856.25
IO	 22	 9856.17
IO	 24	 9856.12
IO	 26	 9856.02
IO	 28	 9855.93
IO	 30	 9855.83
IO	 32	 9855.73
IO	 34	 9855.63
IO	 36	 9855.53
IO	 38	 9855.42
IO	 40	 9855.32
IO	 42	 9855.2
IO	 44	 9855.07
IO	 46	 9854.95
IO	 48	 9854.83
