CPU	 1	 0.08335
CPU	 3	 0.083325
CPU	 5	 0.1
CPU	 7	 0.133325
CPU	 9	 0.133325
CPU	 11	 0.133325
CPU	 13	 0.15
CPU	 15	 0.15
CPU	 17	 0.15
CPU	 19	 0.15
CPU	 21	 0.11665
CPU	 23	 0.16665
CPU	 25	 0.15
CPU	 27	 0.11665
CPU	 29	 0.116675
CPU	 31	 0.116675
CPU	 33	 0.116675
CPU	 35	 0.1
CPU	 37	 0.1
CPU	 39	 0.1
CPU	 41	 0.1
CPU	 43	 0.1
CPU	 45	 0.1
CPU	 47	 0.1
CPU	 49	 0.1
IO	 14	 14320.7
IO	 24	 14323.2
IO	 40	 14323.7
IO	 44	 14326.2
IO	 36	 14327.3
IO	 20	 14332.8
IO	 42	 14332.3
IO	 34	 14333.2
IO	 2	 14335.9
IO	 46	 14332.6
IO	 32	 14336.2
IO	 28	 14336.5
IO	 38	 14335.9
IO	 8	 14338.4
IO	 30	 14337.1
IO	 12	 14339
IO	 48	 14336.5
IO	 6	 14340
IO	 22	 14338.9
IO	 4	 14340.3
IO	 18	 14339.4
IO	 16	 14339.7
IO	 10	 14340.3
IO	 26	 14339.1
IO	 0	 14341.2
