CPU	 1	 0.066675
CPU	 3	 0.083325
CPU	 5	 0.066675
CPU	 7	 0.06665
CPU	 9	 0.08335
CPU	 11	 0.06665
CPU	 13	 0.083325
CPU	 15	 0.05
CPU	 17	 0.083325
CPU	 19	 0.1
CPU	 21	 0.083325
CPU	 23	 0.06665
CPU	 25	 0.06665
CPU	 27	 0.083325
CPU	 29	 0.083325
CPU	 31	 0.08335
CPU	 33	 0.083325
CPU	 35	 0.083325
CPU	 37	 0.1
CPU	 39	 0.083325
CPU	 41	 0.083325
CPU	 43	 0.083325
CPU	 45	 0.083325
CPU	 47	 0.1
CPU	 49	 0.083325
IO	 0	 9904.7
IO	 2	 9904.68
IO	 4	 9904.63
IO	 6	 9904.6
IO	 8	 9904.57
IO	 10	 9904.5
IO	 12	 9904.45
IO	 14	 9904.4
IO	 16	 9904.35
IO	 18	 9904.28
IO	 20	 9904.18
IO	 22	 9904.12
IO	 24	 9904.05
IO	 26	 9903.97
IO	 28	 9903.88
IO	 30	 9903.78
IO	 32	 9903.68
IO	 34	 9903.57
IO	 36	 9903.47
IO	 38	 9903.33
IO	 40	 9903.23
IO	 42	 9903.12
IO	 44	 9903
IO	 46	 9902.87
IO	 48	 9902.73
