CPU	 1	 0.066675
CPU	 3	 0.06665
CPU	 5	 0.066675
CPU	 7	 0.05
CPU	 9	 0.066675
CPU	 11	 0.083325
CPU	 13	 0.066675
CPU	 15	 0.05
CPU	 17	 0.13335
CPU	 19	 0.1
CPU	 21	 0.1
CPU	 23	 0.1
CPU	 25	 0.1
CPU	 27	 0.083325
CPU	 29	 0.1
CPU	 31	 0.083325
CPU	 33	 0.1
CPU	 35	 0.1
CPU	 37	 0.1
CPU	 39	 0.1
CPU	 41	 0.083325
CPU	 43	 0.1
CPU	 45	 0.116675
CPU	 47	 0.1
CPU	 49	 0.08335
CPU	 51	 0.1
CPU	 53	 0.1
CPU	 55	 0.1
CPU	 57	 0.1
CPU	 59	 0.1
CPU	 61	 0.11665
CPU	 63	 0.1
CPU	 65	 0.1
CPU	 67	 0.083325
CPU	 69	 0.083325
CPU	 71	 0.08335
CPU	 73	 0.08335
CPU	 75	 0.1
CPU	 77	 0.1
CPU	 79	 0.083325
CPU	 81	 0.133325
CPU	 83	 0.13335
CPU	 85	 0.133325
CPU	 87	 0.13335
CPU	 89	 0.116675
CPU	 91	 0.116675
CPU	 93	 0.116675
CPU	 95	 0.133325
CPU	 97	 0.116675
CPU	 99	 0.1
IO	 66	 17835.4
IO	 70	 17835.5
IO	 56	 17839.8
IO	 12	 17842.7
IO	 82	 17838.1
IO	 52	 17840.6
IO	 42	 17841.8
IO	 14	 17844.2
IO	 60	 17842
IO	 24	 17845.1
IO	 78	 17841.8
IO	 50	 17843.9
IO	 54	 17843.8
IO	 22	 17845.9
IO	 74	 17842.8
IO	 0	 17847.5
IO	 88	 17841.7
IO	 98	 17840.6
IO	 40	 17846
IO	 48	 17845.5
IO	 68	 17844
IO	 46	 17845.7
IO	 34	 17846.5
IO	 18	 17847.9
IO	 80	 17843.7
IO	 6	 17849
IO	 72	 17844.8
IO	 84	 17843.9
IO	 20	 17848.6
IO	 86	 17844.1
IO	 8	 17849.7
IO	 30	 17848.6
IO	 10	 17849.8
IO	 90	 17844
IO	 4	 17850.1
IO	 16	 17849.7
IO	 58	 17847
IO	 44	 17848
IO	 62	 17846.8
IO	 36	 17848.7
IO	 32	 17849.2
IO	 94	 17844.1
IO	 28	 17849.5
IO	 38	 17848.8
IO	 2	 17850.9
IO	 26	 17849.8
IO	 76	 17846.3
IO	 96	 17844.1
IO	 64	 17847.2
IO	 92	 17844.7
